Word,Freq,Rank
People,1,282
fellow,1,283
choose,1,284
violence,1,285
forbearers,1,286
prepare,1,287
indicators,1,288
someday,1,289
Bush,1,290
size,1,291
land,1,292
great,1,293
band,1,294
Forty,1,295
Now,1,296
measure,1,297
honor,1,298
hour,1,299
shape,1,300
technology,1,301
badly,1,302
united,1,303
hearted,1,304
young,1,305
mark,1,306
wage,1,307
regard,1,308
public,1,309
told,1,310
remains,1,311
stale,1,312
began,1,313
quiet,1,314
span,1,315
patrol,1,316
capacity,1,317
petty,1,318
Starting,1,319
emerged,1,320
network,1,321
Yet,1,322
borne,1,323
storm,1,324
difficult,1,325
cling,1,326
danger,1,327
tides,1,328
precisely,1,329
oceans,1,330
digital,1,331
stairway,1,332
leave,1,333
effort,1,334
consumed,1,335
filled,1,336
greed,1,337
served,1,338
four,1,339
former,1,340
race,1,341
individual,1,342
outside,1,343
progress,1,344
outcome,1,345
eye,1,346
honesty,1,347
depth,1,348
sacrifices,1,349
earlier,1,350
shaped,1,351
poor,1,352
shuttered,1,353
gathering,1,354
Today,1,355
Homes,1,356
dissent,1,357
Concord,1,358
borders,1,359
inhabit,1,360
faithful,1,361
Khe,1,362
ordered,1,363
reach,1,364
statistics,1,365
sacred,1,366
grandest,1,367
works,1,368
bridges,1,369
flow,1,370
values,1,371
intend,1,372
arguments,1,373
grateful,1,374
required,1,375
plenty,1,376
bad,1,377
decline,1,378
pass,1,379
run,1,380
grudgingly,1,381
lessen,1,382
move,1,383
foundation,1,384
forgotten,1,385
office,1,386
month,1,387
collective,1,388
brings,1,389
farms,1,390
decisions,1,391
reject,1,392
raise,1,393
Normandy,1,394
forge,1,395
emanates,1,396
failure,1,397
much,1,398
ask,1,399
reminded,1,400
founding,1,401
fair,1,402
faint,1,403
alliances,1,404
ago,1,405
needed,1,406
rising,1,407
silencing,1,408
advancing,1,409
ground,1,410
colleges,1,411
chosen,1,412
hand,1,413
alongside,1,414
standing,1,415
interests,1,416
Their,1,417
grievances,1,418
deceit,1,419
broken,1,420
easily,1,421
security,1,422
deserve,1,423
bold,1,424
defining,1,425
very,1,426
dark,1,427
guardians,1,428
effect,1,429
shown,1,430
does,1,431
makers,1,432
precious,1,433
uncertain,1,434
ages,1,435
further,1,436
city,1,437
system,1,438
childish,1,439
ways,1,440
carry,1,441
fuel,1,442
alarmed,1,443
tested,1,444
defeat,1,445
watching,1,446
search,1,447
unmatched,1,448
other,1,449
how,1,450
winds,1,451
cause,1,452
here,1,453
born,1,454
deserts,1,455
growth,1,456
embody,1,457
lash,1,458
fist,1,459
expand,1,460
action,1,461
warming,1,462
labor,1,463
define,1,464
worn,1,465
Those,1,466
retirement,1,467
Instead,1,468
heroes,1,469
bitter,1,470
Nor,1,471
Product,1,472
months,1,473
till,1,474
levees,1,475
nurture,1,476
leaders,1,477
decides,1,478
down,1,479
job,1,480
help,1,481
unpleasant,1,482
Thank,1,483
bigger,1,484
patriotism,1,485
currents,1,486
Christians,1,487
putting,1,488
serious,1,489
state,1,490
roll,1,491
raw,1,492
gladly,1,493
unclench,1,494
pledge,1,495
humbled,1,496
enemy,1,497
weakened,1,498
could,1,499
capital,1,500
Iraq,1,501
break,1,502
against,1,503
where,1,504
transition,1,505
obscure,1,506
achieve,1,507
pleasures,1,508
fixed,1,509
tasted,1,510
rightful,1,511
foes,1,512
endure,1,513
humble,1,514
remained,1,515
peoples,1,516
drafted,1,517
measurable,1,518
Gettysburg,1,519
Less,1,520
seize,1,521
dogmas,1,522
swift,1,523
alone,1,524
programs,1,525
missiles,1,526
set,1,527
already,1,528
few,1,529
sake,1,530
whip,1,531
States,1,532
based,1,533
starved,1,534
rugged,1,535
innocents,1,536
tribe,1,537
threats,1,538
strangled,1,539
turn,1,540
relies,1,541
plans,1,542
moments,1,543
perils,1,544
revolution,1,545
accept,1,546
died,1,547
flourish,1,548
see,1,549
ultimately,1,550
interest,1,551
friends,1,552
dangers,1,553
charity,1,554
quality,1,555
cut,1,556
village,1,557
demand,1,558
destroy,1,559
years,1,560
whose,1,561
businesses,1,562
sow,1,563
Gross,1,564
real,1,565
nourish,1,566
tanks,1,567
bodies,1,568
principles,1,569
legacy,1,570
example,1,571
loyalty,1,572
culture,1,573
plowed,1,574
specter,1,575
side,1,576
wrong,1,577
sweatshops,1,578
fate,1,579
fought,1,580
threat,1,581
restaurant,1,582
abandoned,1,583
strengthen,1,584
Sahn,1,585
snow,1,586
lead,1,587
justness,1,588
held,1,589
sturdy,1,590
faction,1,591
read,1,592
lay,1,593
strength,1,594
amidst,1,595
vision,1,596
together,1,597
huddled,1,598
horizon,1,599
data,1,600
dissolve,1,601
refused,1,602
distant,1,603
prefer,1,604
itself,1,605
law,1,606
during,1,607
inevitable,1,608
stranger,1,609
account,1,610
services,1,611
promises,1,612
profound,1,613
costly,1,614
everywhere,1,615
raging,1,616
consume,1,617
favors,1,618
smaller,1,619
Rather,1,620
narrow,1,621
hatreds,1,622
live,1,623
firm,1,624
That,1,625
choices,1,626
memories,1,627
would,1,628
scale,1,629
aims,1,630
hatred,1,631
remaking,1,632
protecting,1,633
settling,1,634
safety,1,635
look,1,636
towards,1,637
nagging,1,638
politics,1,639
surely,1,640
always,1,641
cars,1,642
control,1,643
lost,1,644
inventive,1,645
Arlington,1,646
productive,1,647
character,1,648
soil,1,649
pursue,1,650
whisper,1,651
dust,1,652
clouds,1,653
tell,1,654
Time,1,655
joined,1,656
believe,1,657
shed,1,658
apologize,1,659
ours,1,660
said,1,661
swill,1,662
patriots,1,663
subject,1,664
generosity,1,665
reaching,1,666
scarcely,1,667
advance,1,668
takers,1,669
worked,1,670
next,1,671
create,1,672
pat,1,673
drawn,1,674
Guided,1,675
unfolds,1,676
depended,1,677
midst,1,678
settled,1,679
Scripture,1,680
role,1,681
tolerate,1,682
judge,1,683
rule,1,684
kindness,1,685
necessity,1,686
prudent,1,687
documents,1,688
parent,1,689
woman,1,690
mindful,1,691
sixty,1,692
grace,1,693
gratitude,1,694
join,1,695
Domestic,1,696
lie,1,697
outlast,1,698
high,1,699
earth,1,700
inducing,1,701
sights,1,702
terror,1,703
roads,1,704
changed,1,705
watchful,1,706
reaffirm,1,707
science,1,708
yet,1,709
leisure,1,710
entitle,1,711
hands,1,712
assure,1,713
grids,1,714
patchwork,1,715
giving,1,716
happiness,1,717
prosper,1,718
lose,1,719
spin,1,720
bestowed,1,721
dignified,1,722
believers,1,723
delivered,1,724
ills,1,725
heart,1,726
powerful,1,727
shores,1,728
struggled,1,729
humility,1,730
factories,1,731
fame,1,732
doubt,1,733
generate,1,734
falter,1,735
blame,1,736
dollars,1,737
Muslim,1,738
expanded,1,739
demanded,1,740
electric,1,741
packed,1,742
business,1,743
curiosity,1,744
worldly,1,745
qualities,1,746
spoken,1,747
risk,1,748
decent,1,749
citizens,1,750
weakness,1,751
society,1,752
yes,1,753
knew,1,754
United,1,755
stained,1,756
heritage,1,757
humanity,1,758
simply,1,759
ability,1,760
act,1,761
waver,1,762
change,1,763
corruption,1,764
reveal,1,765
globe,1,766
political,1,767
saw,1,768
week,1,769
vital,1,770
choice,1,771
seeks,1,772
commerce,1,773
road,1,774
communism,1,775
timeless,1,776
keepers,1,777
nuclear,1,778
demands,1,779
Muslims,1,780
discord,1,781
ready,1,782
wield,1,783
satisfying,1,784
return,1,785
dignity,1,786
unity,1,787
price,1,788
Jews,1,789
depends,1,790
toiled,1,791
coldest,1,792
proclaim,1,793
smoke,1,794
place,1,795
shifted,1,796
Fathers,1,797
themselves,1,798
places,1,799
ancestors,1,800
protect,1,801
respect,1,802
river,1,803
capitals,1,804
hungry,1,805
tolerance,1,806
creed,1,807
sees,1,808
route,1,809
tempering,1,810
clean,1,811
pick,1,812
resources,1,813
reform,1,814
full,1,815
aside,1,816
apply,1,817
language,1,818
fallen,1,819
harness,1,820
suggest,1,821
campfires,1,822
suffering,1,823
manage,1,824
Its,1,825
Hindus,1,826
continue,1,827
celebrated,1,828
Recall,1,829
gather,1,830
thank,1,831
sun,1,832
spend,1,833
please,1,834
eyes,1,835
chapter,1,836
threaten,1,837
imagine,1,838
riches,1,839
cost,1,840
fascism,1,841
hardship,1,842
shortcuts,1,843
sapping,1,844
truths,1,845
came,1,846
chance,1,847
restraint,1,848
beneath,1,849
relative,1,850
doers,1,851
sacrificed,1,852
darkest,1,853
equal,1,854
rights,1,855
evidence,1,856
goods,1,857
his,1,858
finally,1,859
transform,1,860
tirelessly,1,861
